,date,HDD,CDD
0,2009-01-01,1010,
1,2009-02-01,671,
2,2009-03-01,548,
3,2009-04-01,239,65
4,2009-05-01,43,132
5,2009-06-01,2,271
6,2009-07-01,,420
7,2009-08-01,,499
8,2009-09-01,11,180
9,2009-10-01,199,30
10,2009-11-01,299,3
11,2009-12-01,745,
12,2010-01-01,846,
13,2010-02-01,766,
14,2010-03-01,363,2
15,2010-04-01,136,54
16,2010-05-01,56,229
17,2010-06-01,,472
18,2010-07-01,,642
19,2010-08-01,,539
20,2010-09-01,,334
21,2010-10-01,139,45
22,2010-11-01,404,
23,2010-12-01,857,
24,2011-01-01,974,
25,2011-02-01,658,1
26,2011-03-01,529,4
27,2011-04-01,181,74
28,2011-05-01,14,198
29,2011-06-01,,411
30,2011-07-01,,656
31,2011-08-01,,423
32,2011-09-01,11,269
33,2011-10-01,169,30
34,2011-11-01,320,1
35,2011-12-01,579,
36,2012-01-01,733,
37,2012-02-01,596,
38,2012-03-01,321,14
39,2012-04-01,222,33
40,2012-05-01,18,187
41,2012-06-01,1,312
42,2012-07-01,,549
43,2012-08-01,,456
44,2012-09-01,6,232
45,2012-10-01,141,53
46,2012-11-01,547,
47,2012-12-01,596,
48,2013-01-01,795,
49,2013-02-01,752,
50,2013-03-01,630,
51,2013-04-01,256,32
52,2013-05-01,83,139
53,2013-06-01,,362
54,2013-07-01,,569
55,2013-08-01,,383
56,2013-09-01,19,172
57,2013-10-01,151,83
58,2013-11-01,493,2
59,2013-12-01,749,4
60,2014-01-01,1043,
61,2014-02-01,861,
62,2014-03-01,718,
63,2014-04-01,275,22
64,2014-05-01,27,114
65,2014-06-01,,348
66,2014-07-01,,474
67,2014-08-01,,374
68,2014-09-01,4,239
69,2014-10-01,129,55
70,2014-11-01,529,1
71,2014-12-01,643,
