,Boro,Boro,Town,Town
,aggregate,per meter,aggregate,per meter
read_date,,,,
2009-04-01,2904.505999,5976.34979218,319.051819,1039.25673941
2009-05-01,1274.641043,2549.282086,282.166518,907.287839228
2009-06-01,1092.311634,2197.81012877,210.608959,704.377789298
2009-07-01,-180.414669,-362.278451807,160.999177,534.880986711
2009-08-01,886.036032,1947.33193846,166.303669,547.051542763
2009-09-01,1272.6667,2471.19747573,238.451477,761.825805112
2009-10-01,1036.680262,2150.78892531,33.955974,113.946221477
2009-11-01,1286.336902,2483.27587259,227.216275,723.618710191
2009-12-01,1384.671817,2854.99343711,261.240422,865.034509934
2010-01-01,2191.110405,4181.50840649,452.560985,1478.95746732
2010-02-01,2317.612801,4749.20655943,395.195531,1287.28185993
2010-03-01,2084.583159,4245.58688187,321.903357,1062.38731683
2010-04-01,1491.066202,2988.10862124,205.718673,644.886122257
2010-05-01,851.40534,1720.01078788,146.169935,464.031539683
2010-06-01,1095.94214,2218.50635628,117.412969,384.960554098
2010-07-01,1144.844262,2341.19480982,118.182625,373.995648734
2010-08-01,1287.012222,2589.56181489,99.065263,316.5024377
2010-09-01,1108.772747,2235.4289254,34.328942,111.457603896
2010-10-01,1264.914504,2534.89880561,163.948405,518.824066456
2010-11-01,1219.980619,2392.11886078,180.064464,568.026700315
2010-12-01,1749.660381,3371.21460694,297.366941,890.320182635
2011-01-01,2443.674707,4848.56092659,444.616745,1380.79734472
2011-02-01,2257.408578,4409.00112891,386.531612,1143.58465089
2011-03-01,1979.195478,3769.89614857,348.967632,1054.28287613
2011-04-01,1806.011626,3778.267,272.861634,954.061657343
2011-05-01,1023.847275,2255.17020925,168.889902,596.784106007
2011-06-01,1112.132815,2428.23758734,125.179173,447.068475
2011-07-01,1213.877473,2616.11524353,104.071945,369.049450355
2011-08-01,1317.885044,2840.26949138,31.463703,107.384651877
2011-09-01,1297.77516,2767.11121535,150.572344,530.184309859
2011-10-01,1284.031187,2791.37214565,118.569202,418.97244523
2011-11-01,1118.600207,2442.35853057,198.022072,689.972376307
2011-12-01,1391.727606,2905.48560752,243.64778,857.91471831
2012-01-01,1742.336574,3683.58683721,369.537524,1292.08924476
2012-02-01,2117.889296,4496.58024628,322.132202,1126.33637063
2012-03-01,1775.329892,3859.4128087,348.559673,1218.74011538
2012-04-01,1481.256766,3165.07855983,200.826691,712.151386525
2012-05-01,1029.263257,2213.46936989,156.147724,544.068724739
2012-06-01,1209.151095,2589.18864026,101.068928,354.627817544
2012-07-01,1139.161053,2476.43707174,107.826284,379.670014085
2012-08-01,1376.79902,2948.17777302,98.518592,344.470601399
2012-09-01,1319.257758,2861.73049458,135.066704,480.664427046
2012-10-01,959.255878,2085.33886522,120.582404,433.749654676
2012-11-01,1482.767862,3195.62039224,200.629333,694.219145329
2012-12-01,1718.990982,3673.05765385,318.978656,1099.9264
2013-01-01,1807.485692,3644.12437903,361.93736,1301.93294964
2013-02-01,2109.383693,4385.41308316,386.893886,1371.96413475
2013-03-01,2005.494247,4369.26851198,384.461074,1368.18887544
2013-04-01,1857.003776,3951.07186383,315.472499,1155.57691941
2013-05-01,1058.122035,2320.44305921,178.296073,641.352780576
2013-06-01,1149.298362,2977.45689637,119.929503,457.746194656
2013-07-01,1044.053892,2027.28911068,120.112378,422.930908451
2013-08-01,1326.030894,2646.7682515,135.940858,494.330392727
2013-09-01,1262.741684,2739.13597397,142.690212,502.430323944
2013-10-01,1213.909129,2593.82292521,146.951584,528.602820144
2013-11-01,1446.518494,3064.65782627,275.127427,1000.46337091
2013-12-01,992.811853,2121.39284829,362.108873,1293.245975
2014-01-01,2803.938981,5829.39497089,475.60399,1716.98191336
2014-02-01,846.314783,1789.24901268,364.49077,1301.75275
2014-03-01,1854.293858,3776.56590224,456.031639,1628.684425
2014-04-01,3157.915688,6791.21653333,335.038326,1222.76761314
2014-05-01,1143.18136,2357.07496907,284.977569,1021.42497849
2014-06-01,1277.101421,2694.30679536,61.383048,212.398089965
2014-07-01,1381.659443,2939.70094255,247.99323,895.282418773
2014-08-01,1022.026862,2188.49435118,147.60672,507.239587629
2014-09-01,1248.791168,2657.00248511,136.567325,480.870862676
2014-10-01,1111.126661,2420.75525272,116.745961,418.444304659
2014-11-01,1456.324033,3040.34244885,184.052547,641.298073171
2014-12-01,,,,
