time,CDD,HDD
2009-01-01,0.0,1010.0
2009-02-01,0.0,671.0
2009-03-01,0.0,548.0
2009-04-01,65.0,239.0
2009-05-01,132.0,43.0
2009-06-01,271.0,2.0
2009-07-01,420.0,0.0
2009-08-01,499.0,0.0
2009-09-01,180.0,11.0
2009-10-01,30.0,199.0
2009-11-01,3.0,299.0
2009-12-01,0.0,745.0
2010-01-01,0.0,846.0
2010-02-01,0.0,766.0
2010-03-01,2.0,363.0
2010-04-01,54.0,136.0
2010-05-01,229.0,56.0
2010-06-01,472.0,0.0
2010-07-01,642.0,0.0
2010-08-01,539.0,0.0
2010-09-01,334.0,0.0
2010-10-01,45.0,139.0
2010-11-01,0.0,404.0
2010-12-01,0.0,857.0
2011-01-01,0.0,974.0
2011-02-01,1.0,658.0
2011-03-01,4.0,529.0
2011-04-01,74.0,181.0
2011-05-01,198.0,14.0
2011-06-01,411.0,0.0
2011-07-01,656.0,0.0
2011-08-01,423.0,0.0
2011-09-01,269.0,11.0
2011-10-01,30.0,169.0
2011-11-01,1.0,320.0
2011-12-01,0.0,579.0
2012-01-01,0.0,733.0
2012-02-01,0.0,596.0
2012-03-01,14.0,321.0
2012-04-01,33.0,222.0
2012-05-01,187.0,18.0
2012-06-01,312.0,1.0
2012-07-01,549.0,0.0
2012-08-01,456.0,0.0
2012-09-01,232.0,6.0
2012-10-01,53.0,141.0
2012-11-01,0.0,547.0
2012-12-01,0.0,596.0
2013-01-01,0.0,795.0
2013-02-01,0.0,752.0
2013-03-01,0.0,630.0
2013-04-01,32.0,256.0
2013-05-01,139.0,83.0
2013-06-01,362.0,0.0
2013-07-01,569.0,0.0
2013-08-01,383.0,0.0
2013-09-01,172.0,19.0
2013-10-01,83.0,151.0
2013-11-01,2.0,493.0
2013-12-01,4.0,749.0
2014-01-01,0.0,1043.0
2014-02-01,0.0,861.0
2014-03-01,0.0,718.0
2014-04-01,22.0,275.0
2014-05-01,114.0,27.0
2014-06-01,348.0,0.0
2014-07-01,474.0,0.0
2014-08-01,374.0,0.0
2014-09-01,239.0,4.0
2014-10-01,55.0,129.0
2014-11-01,1.0,529.0
2014-12-01,0.0,643.0
