,label,b,h,c,color,edge,center
0,Town: Residential per Meter (Electricity),0.628547479932,0.000393476778871,0.0011447858166,#01DF01,#01DF01,#01DF01
1,Boro: Residential per Meter (Electricity),0.410320125962,0.000235705353933,0.000664755627618,#FF4000,#FF4000,#FF4000
2,Town: Other per Meter (Electricity),6.36503152319,0.000708320408827,0.00221628113595,#01DF01,#000000,#000000
3,Boro: Other per Meter (Electricity),14.3124856186,-0.00360275333251,3.6378974492e-05,#FF4000,#000000,#000000
4,Town: Residential per Meter (Gas),38.6897171196,0.236002325363,-0.0227315585691,#01DF01,#01DF01,#01DF01
5,Boro: Residential per Meter (Gas),28.0603747999,0.153707261667,-0.0195130272052,#FF4000,#FF4000,#FF4000
6,Town: Other per Meter (Gas),542.017177942,0.944191339753,-0.2887578976,#01DF01,#000000,#000000
7,Boro: Other per Meter (Gas),2723.79194509,1.57801119081,-0.483474515441,#FF4000,#000000,#000000
8,Town: Residential Aggregate (Electricity),3714.85224121,2.48551227216,7.23386442783,#01DF01,#01DF01,#01DF01
9,Boro: Residential Aggregate (Electricity),1585.03119689,0.927752301026,2.65273918331,#FF4000,#FF4000,#FF4000
10,Town: Other Aggregate (Electricity),5221.30543113,0.880430053079,2.12025403512,#01DF01,#000000,#000000
11,Boro: Other Aggregate (Electricity),13731.5694212,-3.08039998774,0.462669498966,#FF4000,#000000,#000000
12,Town: Residential Aggregate (Gas),190223.543827,1161.76519139,-108.281165312,#01DF01,#01DF01,#01DF01
13,Boro: Residential Aggregate (Gas),85728.5334884,469.819797456,-57.7859250906,#FF4000,#FF4000,#FF4000
14,Town: Other Aggregate (Gas),152260.699343,287.207799517,-75.1066703087,#01DF01,#000000,#000000
15,Boro: Other Aggregate (Gas),1252617.14171,877.405002869,-151.338300484,#FF4000,#000000,#000000
